Time Step, x CoM, y CoM, z CoM
13752000, 0.676307, -0.001655, 0.000000
13756000, 0.689751, -0.188397, 0.000000
13760000, 0.746158, -0.259527, 0.000002
13764000, 0.699667, -0.389002, 0.000001
13768000, 0.717440, -0.111805, 0.000000
13772000, 0.957496, -0.075860, -0.000000
13776000, 0.766197, -0.201547, 0.000001
13780000, 0.788303, -0.162932, 0.000001
13784000, 0.781548, -0.232869, -0.000002
13788000, 0.596059, -0.289362, 0.000000
13792000, 0.613855, -0.229696, 0.000001
13796000, 0.737983, -0.173610, -0.000000
13800000, 0.786726, -0.268812, 0.000001
13804000, 0.594346, -0.286330, 0.000002
13808000, 0.666841, -0.195574, -0.000000
13812000, 0.778679, -0.306381, 0.000001
13816000, 0.447908, -0.063736, 0.000001
13820000, 0.528478, -0.026090, -0.000001
13824000, 0.561632, 0.038689, 0.000001
13828000, 0.550799, -0.076164, 0.000000
13832000, 0.521763, 0.084331, 0.000002
13836000, 0.519465, 0.015641, 0.000002
13840000, 0.637153, 0.093881, 0.000001
13844000, 0.491021, 0.236085, 0.000000
13848000, 0.529328, 0.298661, -0.000002
13852000, 0.618680, 0.208964, 0.000001
13856000, 0.647111, 0.167332, -0.000001
13860000, 0.812870, -0.106393, 0.000001
13864000, 0.737077, -0.042710, -0.000004
13868000, 0.682672, -0.309984, -0.000001
13872000, 0.569350, -0.346934, 0.000001
13876000, 0.828513, -0.233056, -0.000000
13880000, 0.610081, -0.372151, 0.000001
13884000, 0.394888, -0.662610, -0.000001
13888000, 0.471628, -0.575204, -0.000002
13892000, 0.572269, -0.515970, 0.000001
13896000, 0.559631, -0.690179, 0.000000
13900000, 0.589842, -0.577643, 0.000000
13904000, 0.571200, -0.513266, -0.000001
13908000, 0.802998, -0.545376, 0.000002
13912000, 0.709730, -0.419690, 0.000001
13916000, 0.807079, -0.416439, -0.000002
13920000, 0.653172, -0.567004, -0.000001
13924000, 0.611111, -0.344575, -0.000000
13928000, 0.715184, -0.475046, -0.000000
13932000, 0.677410, -0.343186, -0.000000
13936000, 0.581563, -0.416210, 0.000000
13940000, 0.603635, -0.377970, -0.000001
13944000, 0.698406, -0.463547, 0.000001
13948000, 0.587830, -0.310445, 0.000000
13952000, 0.825727, -0.277162, 0.000002
13956000, 0.631720, -0.471741, 0.000000
13960000, 0.488944, -0.498131, 0.000000
13964000, 0.534911, -0.408653, 0.000000
13968000, 0.601875, -0.386066, 0.000000
13972000, 0.533054, -0.521328, 0.000000
13976000, 0.429148, -0.578800, 0.000002
13980000, 0.233533, -0.584890, -0.000000
13984000, 0.285039, -0.612125, -0.000002
13988000, 0.246907, -0.550960, -0.000000
13992000, 0.185336, -0.593162, 0.000000
13996000, 0.324660, -0.656056, -0.000002
14000000, 0.135623, -0.691042, -0.000001
14004000, 0.114599, -0.630566, 0.000002
14008000, 0.306911, -0.642506, 0.000002
14012000, 0.347094, -0.668588, -0.000000
14016000, 0.398537, -0.578782, 0.000000
14020000, 0.173436, -0.757860, -0.000001
14024000, 0.187927, -0.666592, -0.000000
14028000, 0.084035, -0.690850, 0.000001
14032000, 0.379719, -0.701708, -0.000000
14036000, 0.285234, -0.779152, -0.000001
14040000, 0.502718, -0.781472, 0.000002
14044000, 0.343023, -0.815638, -0.000001
14048000, 0.164905, -0.828427, 0.000001
14052000, 0.271208, -0.745612, -0.000001
14056000, 0.428376, -0.752450, 0.000000
14060000, 0.449636, -0.756777, 0.000001
14064000, 0.568153, -0.499625, -0.000001
14068000, 0.549759, -0.379107, -0.000002
14072000, 0.572555, -0.333835, 0.000001
14076000, 0.582776, -0.161555, 0.000000
14080000, 0.484750, -0.262139, -0.000000
14084000, 0.506146, -0.382745, 0.000001
14088000, 0.330941, -0.655971, 0.000001
14092000, 0.346323, -0.410104, 0.000002
14096000, 0.345820, -0.368376, 0.000001
14100000, 0.252429, -0.233961, 0.000002
14104000, 0.174782, -0.333846, -0.000000
14108000, 0.354828, -0.358445, -0.000001
14112000, 0.424339, -0.246750, -0.000001
14116000, 0.283784, -0.318269, 0.000002
14120000, 0.301354, -0.409567, -0.000001
14124000, 0.324192, -0.323469, 0.000000
14128000, 0.325451, -0.369696, -0.000001
14132000, 0.197114, -0.407709, -0.000001
14136000, 0.222677, -0.263905, -0.000000
14140000, 0.212162, -0.302313, -0.000001
14144000, 0.285582, -0.444072, -0.000001
14148000, 0.153892, -0.361024, 0.000002
14152000, -0.044674, -0.460658, -0.000002
14156000, -0.126781, -0.407588, 0.000001
14160000, -0.164304, -0.294992, 0.000000
14164000, -0.126999, -0.476767, -0.000002
14168000, -0.093790, -0.402530, -0.000001
14172000, -0.045803, -0.447746, 0.000002
14176000, -0.091549, -0.368118, 0.000001
14180000, -0.162921, -0.353009, 0.000000
14184000, -0.065048, -0.324185, 0.000001
14188000, 0.069940, -0.327328, 0.000001
14192000, -0.168199, -0.286124, -0.000003
14196000, -0.118219, -0.487251, 0.000000
14200000, 0.115516, -0.367675, -0.000000
14204000, 0.133925, -0.440240, -0.000001
14208000, 0.229824, -0.456987, 0.000000
