Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.013326
-15.000000, 0.028756
-14.800000, 0.027875
-14.600000, 0.026486
-14.400000, 0.026624
-14.200000, 0.026999
-14.000000, 0.024755
-13.800000, 0.022508
-13.600000, 0.021837
-13.400000, 0.021630
-13.200000, 0.020642
-13.000000, 0.020103
-12.800000, 0.019361
-12.600000, 0.018858
-12.400000, 0.017818
-12.200000, 0.017744
-12.000000, 0.016867
-11.800000, 0.016216
-11.600000, 0.016052
-11.400000, 0.015440
-11.200000, 0.015233
-11.000000, 0.014610
-10.800000, 0.014481
-10.600000, 0.014045
-10.400000, 0.013881
-10.200000, 0.013496
-10.000000, 0.013124
-9.800000, 0.013057
-9.600000, 0.013032
-9.400000, 0.012456
-9.200000, 0.012479
-9.000000, 0.012019
-8.800000, 0.011874
-8.600000, 0.011639
-8.400000, 0.011355
-8.200000, 0.011281
-8.000000, 0.011406
-7.800000, 0.010826
-7.600000, 0.011000
-7.400000, 0.010633
-7.200000, 0.010641
-7.000000, 0.010730
-6.800000, 0.010488
-6.600000, 0.010126
-6.400000, 0.010286
-6.200000, 0.010005
-6.000000, 0.010256
-5.800000, 0.010093
-5.600000, 0.010013
-5.400000, 0.010033
-5.200000, 0.009988
-5.000000, 0.009678
-4.800000, 0.009832
-4.600000, 0.009973
-4.400000, 0.010076
-4.200000, 0.009977
-4.000000, 0.009819
-3.800000, 0.009998
-3.600000, 0.010146
-3.400000, 0.010028
-3.200000, 0.010304
-3.000000, 0.010628
-2.800000, 0.010396
-2.600000, 0.010661
-2.400000, 0.011234
-2.200000, 0.011361
-2.000000, 0.011695
-1.800000, 0.012204
-1.600000, 0.012671
-1.400000, 0.013065
-1.200000, 0.013484
-1.000000, 0.014335
-0.800000, 0.014475
-0.600000, 0.015277
-0.400000, 0.015755
-0.200000, 0.016338
0.000000, 0.016666
0.200000, 0.017248
0.400000, 0.018092
0.600000, 0.018511
0.800000, 0.018863
1.000000, 0.019478
1.200000, 0.020272
1.400000, 0.021005
1.600000, 0.020919
1.800000, 0.021734
2.000000, 0.022325
2.200000, 0.022741
2.400000, 0.023096
2.600000, 0.023394
2.800000, 0.024075
3.000000, 0.024079
3.200000, 0.024184
3.400000, 0.024449
3.600000, 0.024751
3.800000, 0.024685
4.000000, 0.024700
4.200000, 0.024691
4.400000, 0.024268
4.600000, 0.024611
4.800000, 0.024455
5.000000, 0.024226
5.200000, 0.024095
5.400000, 0.024154
5.600000, 0.023984
5.800000, 0.023903
6.000000, 0.023659
6.200000, 0.023813
6.400000, 0.023479
6.600000, 0.023273
6.800000, 0.023231
7.000000, 0.023108
7.200000, 0.022820
7.400000, 0.022525
7.600000, 0.022247
7.800000, 0.022325
8.000000, 0.022208
8.200000, 0.021833
8.400000, 0.021448
8.600000, 0.021155
8.800000, 0.020837
9.000000, 0.021024
9.200000, 0.020744
9.400000, 0.020008
9.600000, 0.019662
9.800000, 0.019397
10.000000, 0.019464
10.200000, 0.018951
10.400000, 0.018448
10.600000, 0.018224
10.800000, 0.017651
11.000000, 0.017536
11.200000, 0.017001
11.400000, 0.016630
11.600000, 0.015653
11.800000, 0.015223
12.000000, 0.014347
12.200000, 0.013466
12.400000, 0.012890
12.600000, 0.011850
12.800000, 0.011098
13.000000, 0.009584
13.200000, 0.008793
13.400000, 0.007724
13.600000, 0.006911
13.800000, 0.006514
14.000000, 0.006403
14.200000, 0.005868
14.400000, 0.005766
14.600000, 0.005696
14.800000, 0.005462
15.000000, 0.002503
15.200000, 0.000000
15.400000, 0.000000
