Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.002351
-15.000000, 0.004941
-14.800000, 0.004487
-14.600000, 0.003926
-14.400000, 0.003821
-14.200000, 0.003885
-14.000000, 0.003646
-13.800000, 0.003251
-13.600000, 0.003323
-13.400000, 0.003556
-13.200000, 0.003587
-13.000000, 0.003528
-12.800000, 0.003642
-12.600000, 0.003580
-12.400000, 0.003563
-12.200000, 0.003585
-12.000000, 0.003508
-11.800000, 0.003581
-11.600000, 0.003582
-11.400000, 0.003587
-11.200000, 0.003632
-11.000000, 0.003536
-10.800000, 0.003711
-10.600000, 0.003480
-10.400000, 0.003580
-10.200000, 0.003560
-10.000000, 0.003693
-9.800000, 0.003585
-9.600000, 0.003628
-9.400000, 0.003507
-9.200000, 0.003647
-9.000000, 0.003507
-8.800000, 0.003617
-8.600000, 0.003538
-8.400000, 0.003588
-8.200000, 0.003606
-8.000000, 0.003545
-7.800000, 0.003713
-7.600000, 0.003588
-7.400000, 0.003617
-7.200000, 0.003692
-7.000000, 0.003582
-6.800000, 0.003780
-6.600000, 0.003598
-6.400000, 0.003563
-6.200000, 0.003658
-6.000000, 0.003688
-5.800000, 0.003712
-5.600000, 0.003715
-5.400000, 0.003691
-5.200000, 0.003716
-5.000000, 0.003783
-4.800000, 0.003683
-4.600000, 0.003752
-4.400000, 0.003771
-4.200000, 0.003733
-4.000000, 0.003771
-3.800000, 0.003841
-3.600000, 0.003810
-3.400000, 0.003805
-3.200000, 0.003806
-3.000000, 0.003813
-2.800000, 0.003631
-2.600000, 0.003722
-2.400000, 0.003771
-2.200000, 0.003642
-2.000000, 0.003672
-1.800000, 0.003548
-1.600000, 0.003583
-1.400000, 0.003721
-1.200000, 0.003493
-1.000000, 0.003616
-0.800000, 0.003462
-0.600000, 0.003625
-0.400000, 0.003568
-0.200000, 0.003562
0.000000, 0.003567
0.200000, 0.003485
0.400000, 0.003653
0.600000, 0.003620
0.800000, 0.003607
1.000000, 0.003488
1.200000, 0.003718
1.400000, 0.003506
1.600000, 0.003662
1.800000, 0.003701
2.000000, 0.003717
2.200000, 0.003617
2.400000, 0.003656
2.600000, 0.003655
2.800000, 0.003698
3.000000, 0.003745
3.200000, 0.003818
3.400000, 0.003868
3.600000, 0.003720
3.800000, 0.003705
4.000000, 0.003825
4.200000, 0.003820
4.400000, 0.003733
4.600000, 0.003840
4.800000, 0.003778
5.000000, 0.003753
5.200000, 0.003812
5.400000, 0.003722
5.600000, 0.003683
5.800000, 0.003767
6.000000, 0.003617
6.200000, 0.003601
6.400000, 0.003616
6.600000, 0.003606
6.800000, 0.003681
7.000000, 0.003478
7.200000, 0.003666
7.400000, 0.003538
7.600000, 0.003651
7.800000, 0.003555
8.000000, 0.003687
8.200000, 0.003595
8.400000, 0.003528
8.600000, 0.003490
8.800000, 0.003567
9.000000, 0.003683
9.200000, 0.003582
9.400000, 0.003540
9.600000, 0.003567
9.800000, 0.003525
10.000000, 0.003513
10.200000, 0.003665
10.400000, 0.003597
10.600000, 0.003638
10.800000, 0.003507
11.000000, 0.003696
11.200000, 0.003435
11.400000, 0.003657
11.600000, 0.003521
11.800000, 0.003560
12.000000, 0.003623
12.200000, 0.003518
12.400000, 0.003583
12.600000, 0.003690
12.800000, 0.003555
13.000000, 0.003602
13.200000, 0.003497
13.400000, 0.003277
13.600000, 0.003532
13.800000, 0.003555
14.000000, 0.003986
14.200000, 0.003838
14.400000, 0.004016
14.600000, 0.004472
14.800000, 0.004902
15.000000, 0.002329
15.200000, 0.000000
15.400000, 0.000000
