Left Bin Edge, Probability density
0.000000, 0.042267
0.100000, 0.042846
0.200000, 0.043240
0.300000, 0.043376
0.400000, 0.043144
0.500000, 0.042636
0.600000, 0.042173
0.700000, 0.041118
0.800000, 0.039996
0.900000, 0.038659
1.000000, 0.037621
1.100000, 0.036908
1.200000, 0.037064
1.300000, 0.038321
1.400000, 0.040201
1.500000, 0.042837
1.600000, 0.045295
1.700000, 0.044643
1.800000, 0.044272
1.900000, 0.045125
2.000000, 0.046865
2.100000, 0.049475
2.200000, 0.052474
2.300000, 0.055217
2.400000, 0.057303
2.500000, 0.056079
2.600000, 0.009077
2.700000, 0.000000
2.800000, 0.000000
2.900000, 0.000000
3.000000, 0.000000
3.100000, 0.000000
