Left Bin Edge, Probability density
0.000000, 0.044591
0.100000, 0.045832
0.200000, 0.046437
0.300000, 0.045664
0.400000, 0.045747
0.500000, 0.045035
0.600000, 0.044337
0.700000, 0.043236
0.800000, 0.041777
0.900000, 0.040288
1.000000, 0.039161
1.100000, 0.038156
1.200000, 0.037794
1.300000, 0.038960
1.400000, 0.040510
1.500000, 0.042715
1.600000, 0.045017
1.700000, 0.044232
1.800000, 0.043667
1.900000, 0.044567
2.000000, 0.046260
2.100000, 0.048809
2.200000, 0.051617
2.300000, 0.054283
2.400000, 0.056132
2.500000, 0.055122
2.600000, 0.008962
2.700000, 0.000000
2.800000, 0.000000
2.900000, 0.000000
3.000000, 0.000000
3.100000, 0.000000
