Run Index, Segregation Time steps (f045_s040_t00)
1, 2396000
2, 952000
3, 2311000
4, 1078000
5, 573000
6, 1286000
7, 792000
8, 2469000
9, 1426000
10, 972000
11, 1390000
12, 1749000
13, 1427000
14, 4491000
15, 1145000
16, 2444000
17, 886000
18, 1374000
19, 840000
20, 1358000
21, 350000
22, 1826000
23, 1953000
24, 1239000
25, 464000
26, 3358000
27, 7358000
28, 1554000
29, 652000
30, 502000
31, 1317000
32, 597000
33, 374000
34, 955000
35, 889000
36, 1685000
37, 1221000
38, 891000
39, 2114000
40, 1724000
41, 994000
42, 2678000
43, 1098000
44, 1884000
45, 1357000
46, 799000
47, 2274000
48, 1868000
49, 1572000
50, 784000
