Run Index, Segregation Time steps (f045_s040_t00)
1, 3024000
2, 14334000
3, 597000
4, 1397000
5, 1160000
6, 2755000
7, 2853000
8, 910000
9, 1031000
10, 2320000
11, 3069000
12, 2003000
13, 561000
14, 680000
15, 1422000
16, 2912000
17, 377000
18, 1177000
19, 1187000
20, 1212000
21, 959000
22, 1256000
23, 1179000
24, 1208000
25, 1182000
26, 414000
27, 873000
28, 1313000
29, 1224000
30, 9354000
31, 1493000
32, 343000
33, 1510000
34, 542000
35, 903000
36, 474000
37, 1157000
38, 1108000
39, 2454000
40, 840000
41, 931000
42, 543000
43, 1272000
44, 435000
45, 1969000
46, 748000
47, 542000
48, 1932000
49, 3237000
50, 1370000
