Run Index, Segregation Time steps (f045_s040_t00)
1, 430000
2, 689000
3, 268000
4, 544000
5, 541000
6, 588000
7, 597000
8, 170000
9, 312000
10, 380000
11, 222000
12, 351000
13, 572000
14, 172000
15, 349000
16, 570000
17, 265000
18, 736000
19, 389000
20, 610000
21, 3130000
22, 410000
23, 454000
24, 213000
25, 432000
26, 282000
27, 514000
28, 418000
29, 459000
30, 526000
31, 292000
32, 546000
33, 377000
34, 280000
35, 2961000
36, 552000
37, 349000
38, 303000
39, 400000
40, 1172000
41, 457000
42, 336000
43, 1247000
44, 375000
45, 413000
46, 402000
47, 447000
48, 436000
49, 462000
50, 421000
