Run Index, Segregation Time steps (f045_s040_t00)
1, 462000
2, 1163000
3, 1083000
4, 1200000
5, 1240000
6, 2011000
7, 1484000
8, 653000
9, 1036000
10, 951000
11, 308000
12, 663000
13, 713000
14, 464000
15, 3306000
16, 1445000
17, 999000
18, 2608000
19, 746000
20, 1198000
21, 631000
22, 1339000
23, 1477000
24, 1386000
25, 1297000
26, 3524000
27, 1113000
28, 1583000
29, 1008000
30, 1525000
31, 2854000
32, 998000
33, 1566000
34, 889000
35, 1484000
36, 2682000
37, 1881000
38, 1274000
39, 937000
40, 1074000
41, 1630000
42, 1577000
43, 1278000
44, 1634000
45, 1271000
46, 1945000
47, 2102000
48, 946000
49, 2070000
50, 936000
