Run Index, Segregation Time steps (f045_s040_t00)
1, 3126000
2, 1809000
3, 655000
4, 2263000
5, 823000
6, 2652000
7, 769000
8, 940000
9, 1299000
10, 717000
11, 483000
12, 812000
13, 375000
14, 1435000
15, 675000
16, 1012000
17, 1104000
18, 2511000
19, 1347000
20, 948000
21, 612000
22, 1046000
23, 856000
24, 1012000
25, 1413000
26, 414000
27, 1824000
28, 1586000
29, 2167000
30, 661000
31, 1425000
32, 383000
33, 1582000
34, 963000
35, 1206000
36, 2392000
37, 477000
38, 1204000
39, 972000
40, 719000
41, 767000
42, 1220000
43, 1242000
44, 1149000
45, 872000
46, 740000
47, 584000
48, 720000
49, 1802000
50, 977000
