Run Index, Segregation Time steps (f045_s040_t00)
1, 1378000
2, 1171000
3, 1626000
4, 973000
5, 3709000
6, 1902000
7, 890000
8, 694000
9, 1463000
10, 1815000
11, 2071000
12, 1515000
13, 1170000
14, 926000
15, 2103000
16, 872000
17, 1600000
18, 1320000
19, 1374000
20, 1009000
21, 1704000
22, 1016000
23, 937000
24, 790000
25, 1081000
26, 351000
27, 874000
28, 628000
29, 2034000
30, 1053000
31, 1353000
32, 984000
33, 1656000
34, 1624000
35, 2491000
36, 2427000
37, 1138000
38, 1062000
39, 1448000
40, 1236000
41, 814000
42, 1123000
43, 619000
44, 1412000
45, 1131000
46, 573000
47, 2466000
48, 728000
49, 1308000
50, 2126000
