Run Index, Segregation Time steps (f045_s040_t00)
1, 1535000
2, 750000
3, 2266000
4, 545000
5, 769000
6, 1298000
7, 1062000
8, 406000
9, 1476000
10, 1264000
11, 1564000
12, 5671000
13, 709000
14, 829000
15, 1829000
16, 1002000
17, 1101000
18, 1686000
19, 13859000
20, 830000
21, 2357000
22, 1519000
23, 1361000
24, 1792000
25, 2776000
26, 1084000
27, 748000
28, 6378000
29, 885000
30, 1043000
31, 1052000
32, 1359000
33, 900000
34, 950000
35, 1176000
36, 1469000
37, 1072000
38, 3049000
39, 915000
40, 796000
41, 871000
42, 1077000
43, 1136000
44, 2238000
45, 600000
46, 467000
47, 6029000
48, 1224000
49, 1322000
50, 1240000
