Run Index, Segregation Time steps (f045_s040_t00)
1, 379000
2, 354000
3, 523000
4, 745000
5, 667000
6, 950000
7, 613000
8, 1008000
9, 588000
10, 566000
11, 719000
12, 706000
13, 567000
14, 380000
15, 1574000
16, 524000
17, 464000
18, 659000
19, 524000
20, 412000
21, 373000
22, 516000
23, 790000
24, 837000
25, 371000
26, 471000
27, 245000
28, 300000
29, 347000
30, 518000
31, 375000
32, 1013000
33, 1059000
34, 367000
35, 357000
36, 836000
37, 441000
38, 477000
39, 567000
40, 1100000
41, 758000
42, 457000
43, 556000
44, 373000
45, 710000
46, 816000
47, 1621000
48, 508000
49, 246000
50, 739000
