Time Step, x CoM, y CoM, z CoM
0, -0.189008, -0.491347, -0.000000
10000, -0.231950, -0.498525, 0.084560
20000, -0.314725, -0.490996, 1.200378
30000, -0.444023, -0.210077, 1.337998
40000, -0.502208, -0.522124, 1.330056
50000, -0.431858, -0.334724, 0.927543
60000, -0.497465, -0.354112, 1.007850
70000, -0.291451, -0.176218, 0.528179
80000, -0.126209, -0.016093, 1.101276
90000, -0.222103, -0.161210, 1.324287
100000, 0.123438, -0.165146, 0.671220
110000, 0.142717, -0.269793, 1.592193
120000, 0.266559, -0.325591, 1.224587
130000, 0.131053, -0.209771, 0.394019
140000, -0.148986, -0.172016, 0.704275
150000, -0.257937, -0.194834, 1.398065
160000, -0.364081, -0.153764, 2.038598
170000, 0.010171, -0.436821, 1.386696
180000, 0.083233, -0.400340, 1.412055
190000, -0.180718, 0.033632, 1.612662
200000, -0.383970, -0.012745, 1.028692
210000, -0.329654, -0.227791, 2.341994
220000, -0.176752, 0.350267, 1.613445
230000, -0.157914, 0.292062, 1.465050
240000, -0.131791, 0.446791, 0.473079
250000, -0.144165, 0.316484, 0.727721
260000, -0.110829, 0.474763, 0.147531
270000, -0.209676, 0.533030, 0.196580
280000, 0.094575, 0.529353, 0.467087
290000, 0.098661, 0.571924, -0.181260
300000, 0.090581, 0.764517, 0.444236
310000, 0.116791, 0.714264, 0.456859
320000, -0.067383, 0.835031, 1.083634
330000, -0.056122, 0.625941, 1.046868
340000, -0.153528, 0.728721, 0.609380
350000, -0.495356, 0.510119, 0.514884
360000, -0.627864, 0.506652, 1.591024
370000, -0.391088, 0.253670, 1.748715
380000, -0.467207, 0.342212, 2.336772
390000, -0.255475, 0.317303, 2.379262
400000, -0.274413, 0.236963, 2.158548
410000, 0.126549, 0.226766, 2.287489
420000, 0.252667, 0.425360, 2.233246
430000, 0.155274, 0.179077, 2.009076
440000, -0.145683, 0.319710, 0.957873
450000, 0.094882, 0.380258, 1.527767
460000, -0.246515, 0.159077, 0.511345
470000, -0.165953, 0.085763, 0.558990
480000, -0.212636, 0.447103, 0.641809
490000, -0.146329, 0.235913, 0.903667
