Left Bin Edge, Probability density
-15.600000, 0.000000
-15.400000, 0.000000
-15.200000, 0.000253
-15.000000, 0.000431
-14.800000, 0.000456
-14.600000, 0.000444
-14.400000, 0.000434
-14.200000, 0.000472
-14.000000, 0.000381
-13.800000, 0.000350
-13.600000, 0.000356
-13.400000, 0.000381
-13.200000, 0.000344
-13.000000, 0.000306
-12.800000, 0.000344
-12.600000, 0.000366
-12.400000, 0.000353
-12.200000, 0.000337
-12.000000, 0.000347
-11.800000, 0.000294
-11.600000, 0.000344
-11.400000, 0.000350
-11.200000, 0.000337
-11.000000, 0.000309
-10.800000, 0.000331
-10.600000, 0.000341
-10.400000, 0.000309
-10.200000, 0.000306
-10.000000, 0.000306
-9.800000, 0.000278
-9.600000, 0.000297
-9.400000, 0.000294
-9.200000, 0.000250
-9.000000, 0.000269
-8.800000, 0.000259
-8.600000, 0.000256
-8.400000, 0.000281
-8.200000, 0.000228
-8.000000, 0.000259
-7.800000, 0.000222
-7.600000, 0.000256
-7.400000, 0.000241
-7.200000, 0.000253
-7.000000, 0.000247
-6.800000, 0.000234
-6.600000, 0.000244
-6.400000, 0.000209
-6.200000, 0.000275
-6.000000, 0.000244
-5.800000, 0.000309
-5.600000, 0.000309
-5.400000, 0.000319
-5.200000, 0.000381
-5.000000, 0.000381
-4.800000, 0.000428
-4.600000, 0.000441
-4.400000, 0.000509
-4.200000, 0.000612
-4.000000, 0.000790
-3.800000, 0.000853
-3.600000, 0.000962
-3.400000, 0.001187
-3.200000, 0.001315
-3.000000, 0.001806
-2.800000, 0.001906
-2.600000, 0.002193
-2.400000, 0.002759
-2.200000, 0.003162
-2.000000, 0.003943
-1.800000, 0.004649
-1.600000, 0.005542
-1.400000, 0.006473
-1.200000, 0.007551
-1.000000, 0.008673
-0.800000, 0.010044
-0.600000, 0.011369
-0.400000, 0.013303
-0.200000, 0.015281
0.000000, 0.017068
0.200000, 0.018336
0.400000, 0.020323
0.600000, 0.022132
0.800000, 0.023538
1.000000, 0.024738
1.200000, 0.025869
1.400000, 0.026796
1.600000, 0.027868
1.800000, 0.028315
2.000000, 0.029246
2.200000, 0.029755
2.400000, 0.029799
2.600000, 0.030586
2.800000, 0.030724
3.000000, 0.031198
3.200000, 0.031645
3.400000, 0.031886
3.600000, 0.032179
3.800000, 0.032395
4.000000, 0.032557
4.200000, 0.033070
4.400000, 0.032932
4.600000, 0.033260
4.800000, 0.033214
5.000000, 0.032804
5.200000, 0.033073
5.400000, 0.033776
5.600000, 0.033395
5.800000, 0.032611
6.000000, 0.033735
6.200000, 0.033429
6.400000, 0.032976
6.600000, 0.032532
6.800000, 0.033473
7.000000, 0.033182
7.200000, 0.033588
7.400000, 0.032854
7.600000, 0.032564
7.800000, 0.032954
8.000000, 0.033135
8.200000, 0.032823
8.400000, 0.032686
8.600000, 0.032920
8.800000, 0.032698
9.000000, 0.032495
9.200000, 0.032942
9.400000, 0.032479
9.600000, 0.032498
9.800000, 0.032764
10.000000, 0.032926
10.200000, 0.032445
10.400000, 0.032548
10.600000, 0.032242
10.800000, 0.032876
11.000000, 0.032123
11.200000, 0.032501
11.400000, 0.032386
11.600000, 0.032676
11.800000, 0.032423
12.000000, 0.032461
12.200000, 0.032267
12.400000, 0.032689
12.600000, 0.032636
12.800000, 0.031926
13.000000, 0.032342
13.200000, 0.031286
13.400000, 0.031323
13.600000, 0.031605
13.800000, 0.033167
14.000000, 0.036269
14.200000, 0.034079
14.400000, 0.034295
14.600000, 0.036631
14.800000, 0.038344
15.000000, 0.017589
15.200000, 0.000000
15.400000, 0.000000
