Left Bin Edge, Probability density
0.000000, 0.043100
0.100000, 0.042809
0.200000, 0.043442
0.300000, 0.042845
0.400000, 0.042806
0.500000, 0.042015
0.600000, 0.042507
0.700000, 0.041635
0.800000, 0.040312
0.900000, 0.039163
1.000000, 0.038007
1.100000, 0.038196
1.200000, 0.038255
1.300000, 0.039003
1.400000, 0.040893
1.500000, 0.044296
1.600000, 0.046145
1.700000, 0.044936
1.800000, 0.044138
1.900000, 0.044775
2.000000, 0.046451
2.100000, 0.048661
2.200000, 0.051822
2.300000, 0.054415
2.400000, 0.056858
2.500000, 0.055281
2.600000, 0.008991
2.700000, 0.000000
2.800000, 0.000000
2.900000, 0.000000
3.000000, 0.000000
3.100000, 0.000000
