Left Bin Edge, Probability density
0.000000, 0.042643
0.100000, 0.043293
0.200000, 0.043415
0.300000, 0.043541
0.400000, 0.043315
0.500000, 0.041869
0.600000, 0.042811
0.700000, 0.041731
0.800000, 0.040485
0.900000, 0.039486
1.000000, 0.037917
1.100000, 0.038502
1.200000, 0.038266
1.300000, 0.038918
1.400000, 0.040886
1.500000, 0.044210
1.600000, 0.046019
1.700000, 0.044918
1.800000, 0.044122
1.900000, 0.044947
2.000000, 0.046279
2.100000, 0.048604
2.200000, 0.051667
2.300000, 0.054408
2.400000, 0.056693
2.500000, 0.055302
2.600000, 0.008973
2.700000, 0.000000
2.800000, 0.000000
2.900000, 0.000000
3.000000, 0.000000
3.100000, 0.000000
