Run Index, Segregation Time steps (f048_s043_t00)
1, 412000
2, 419000
3, 478000
4, 212000
5, 486000
6, 465000
7, 330000
8, 360000
9, 176000
10, 424000
11, 286000
12, 600000
13, 377000
14, 463000
15, 334000
16, 900000
17, 348000
18, 862000
19, 487000
20, 629000
21, 722000
22, 552000
23, 674000
24, 441000
25, 431000
26, 352000
27, 785000
28, 625000
29, 539000
30, 304000
31, 387000
32, 219000
33, 581000
34, 511000
35, 309000
36, 329000
37, 600000
38, 792000
39, 562000
40, 424000
41, 385000
42, 403000
43, 395000
44, 1084000
45, 541000
46, 401000
47, 609000
48, 570000
49, 556000
50, 378000
