Run Index, Segregation Time steps (f048_s043_t00)
1, 302000
2, 139000
3, 174000
4, 269000
5, 217000
6, 209000
7, 151000
8, 146000
9, 243000
10, 199000
11, 235000
12, 151000
13, 237000
14, 221000
15, 160000
16, 186000
17, 171000
18, 193000
19, 128000
20, 142000
21, 190000
22, 257000
23, 180000
24, 148000
25, 151000
26, 173000
27, 242000
28, 154000
29, 135000
30, 122000
31, 114000
32, 344000
33, 157000
34, 118000
35, 209000
36, 222000
37, 96000
38, 222000
39, 191000
40, 254000
41, 179000
42, 214000
43, 122000
44, 229000
45, 245000
46, 221000
47, 131000
48, 147000
49, 292000
50, 432000
