Run Index, Segregation Time steps (f048_s043_t00)
1, 368000
2, 353000
3, 441000
4, 564000
5, 671000
6, 408000
7, 262000
8, 700000
9, 498000
10, 339000
11, 282000
12, 1024000
13, 1051000
14, 456000
15, 439000
16, 252000
17, 319000
18, 429000
19, 395000
20, 420000
21, 582000
22, 361000
23, 278000
24, 500000
25, 931000
26, 423000
27, 605000
28, 383000
29, 241000
30, 275000
31, 411000
32, 343000
33, 338000
34, 681000
35, 637000
36, 261000
37, 347000
38, 535000
39, 600000
40, 567000
41, 324000
42, 795000
43, 247000
44, 672000
45, 278000
46, 1110000
47, 428000
48, 708000
49, 443000
50, 484000
