Run Index, Segregation Time steps (f048_s043_t00)
1, 412000
2, 449000
3, 423000
4, 550000
5, 634000
6, 337000
7, 398000
8, 294000
9, 402000
10, 661000
11, 524000
12, 289000
13, 487000
14, 487000
15, 430000
16, 636000
17, 886000
18, 862000
19, 510000
21, 571000
22, 692000
23, 439000
24, 747000
25, 474000
26, 610000
27, 522000
28, 630000
29, 708000
30, 304000
31, 949000
32, 591000
33, 401000
34, 369000
35, 452000
36, 503000
37, 469000
38, 401000
39, 565000
40, 552000
41, 491000
42, 260000
43, 499000
44, 355000
45, 558000
46, 553000
47, 607000
48, 382000
49, 325000
50, 477000
