Run Index, Segregation Time steps (f048_s043_t00)
1, 467000
2, 323000
3, 441000
4, 576000
5, 271000
6, 408000
7, 564000
8, 371000
9, 518000
10, 597000
11, 752000
12, 659000
13, 380000
14, 310000
15, 440000
16, 674000
17, 597000
18, 395000
19, 517000
20, 294000
21, 466000
22, 600000
23, 335000
24, 491000
25, 544000
26, 459000
27, 340000
29, 531000
30, 311000
31, 605000
32, 537000
33, 271000
34, 258000
35, 535000
36, 497000
37, 742000
38, 545000
39, 506000
40, 257000
41, 604000
42, 427000
43, 573000
44, 675000
45, 170000
46, 505000
47, 698000
48, 256000
49, 394000
50, 337000
