Run Index, Segregation Time steps (f048_s043_t00)
1, 176000
2, 259000
3, 161000
4, 168000
5, 192000
6, 250000
7, 264000
8, 160000
9, 115000
10, 315000
11, 167000
12, 158000
13, 163000
14, 208000
15, 281000
16, 257000
17, 124000
18, 237000
19, 166000
20, 156000
21, 166000
22, 278000
23, 142000
24, 255000
25, 103000
26, 172000
27, 219000
28, 213000
29, 304000
30, 179000
31, 272000
32, 264000
33, 187000
34, 218000
35, 294000
36, 172000
37, 168000
38, 143000
39, 154000
40, 241000
41, 129000
42, 133000
43, 194000
44, 159000
45, 157000
46, 128000
47, 173000
48, 146000
49, 344000
50, 129000
