Run Index, Segregation Time steps (f048_s043_t00)
1, 722000
2, 563000
3, 483000
4, 374000
5, 531000
6, 313000
7, 401000
8, 225000
9, 1041000
11, 551000
12, 387000
13, 1572000
14, 497000
16, 881000
17, 214000
18, 828000
19, 486000
20, 806000
21, 22816000
23, 385000
24, 931000
25, 4138000
26, 222000
27, 804000
28, 2607000
29, 497000
30, 2212000
31, 284000
32, 491000
33, 396000
34, 962000
35, 355000
36, 359000
37, 518000
38, 401000
39, 537000
40, 673000
41, 508000
42, 295000
43, 452000
44, 366000
45, 212000
46, 409000
47, 606000
48, 571000
49, 444000
