Run Index, Segregation Time steps (f048_s043_t00)
2, 650000
3, 496000
4, 576000
5, 692000
6, 408000
7, 278000
8, 703000
9, 507000
10, 275000
12, 574000
13, 503000
14, 690000
16, 252000
17, 480000
19, 394000
20, 771000
21, 414000
22, 508000
23, 481000
25, 547000
26, 415000
27, 252000
28, 407000
29, 546000
30, 1422000
31, 447000
32, 328000
33, 570000
34, 180000
35, 205000
36, 639000
37, 376000
38, 536000
39, 637000
40, 198000
41, 424000
42, 422000
43, 238000
44, 854000
45, 475000
46, 581000
47, 699000
48, 718000
50, 480000
