Run Index, Segregation Time steps (f048_s043_t00)
1, 2825000
2, 3795000
4, 1193000
5, 204000
6, 16948000
7, 256000
8, 167000
9, 179000
10, 185000
11, 209000
12, 4831000
14, 9194000
15, 469000
16, 5760000
17, 293000
20, 219000
21, 199000
22, 10834000
23, 3621000
24, 5857000
25, 205000
26, 150000
27, 1836000
28, 283000
29, 208000
30, 25048000
31, 188000
32, 5415000
33, 193000
34, 14399000
35, 280000
36, 747000
37, 7214000
38, 331000
39, 92000
40, 267000
41, 209000
42, 491000
43, 440000
44, 21129000
45, 160000
46, 148000
47, 184000
48, 9666000
49, 257000
50, 19181000
