Run Index, Segregation Time steps (f048_s043_t00)
1, 317000
2, 433000
3, 395000
4, 428000
5, 565000
6, 317000
7, 739000
8, 758000
9, 281000
10, 666000
11, 569000
12, 305000
13, 606000
14, 465000
15, 328000
16, 439000
17, 230000
18, 298000
19, 488000
20, 479000
21, 523000
22, 534000
23, 390000
24, 482000
25, 826000
26, 201000
27, 516000
28, 308000
29, 539000
30, 549000
31, 438000
32, 505000
33, 818000
34, 495000
35, 490000
36, 825000
37, 518000
38, 607000
39, 689000
40, 448000
41, 663000
42, 465000
43, 495000
44, 576000
45, 395000
46, 398000
47, 679000
48, 571000
49, 436000
50, 263000
