Run Index, Segregation Time steps (f048_s043_t00)
1, 756000
2, 426000
3, 604000
4, 294000
5, 236000
6, 295000
7, 401000
8, 272000
9, 572000
10, 391000
11, 434000
12, 577000
13, 451000
14, 726000
15, 605000
16, 495000
17, 503000
18, 281000
19, 517000
20, 295000
21, 363000
22, 430000
23, 442000
24, 519000
25, 539000
26, 459000
27, 661000
28, 321000
29, 449000
30, 435000
31, 722000
32, 466000
33, 569000
34, 213000
35, 519000
36, 498000
37, 677000
38, 546000
39, 637000
40, 368000
41, 475000
42, 426000
43, 391000
44, 675000
45, 333000
46, 330000
47, 258000
48, 588000
49, 392000
50, 488000
