Run Index, Segregation Time steps (f048_s043_t00)
1, 378000
2, 255000
3, 313000
4, 309000
5, 400000
6, 258000
7, 307000
8, 353000
9, 1488000
10, 1585000
11, 957000
12, 706000
13, 365000
14, 469000
15, 477000
16, 396000
17, 333000
18, 156000
19, 6069000
20, 221000
21, 263000
22, 484000
23, 513000
24, 337000
25, 266000
26, 401000
27, 242000
28, 555000
29, 497000
30, 430000
31, 478000
32, 369000
33, 1170000
34, 188000
35, 214000
36, 217000
37, 193000
38, 504000
39, 399000
40, 275000
41, 423000
42, 296000
43, 332000
44, 1331000
45, 424000
46, 398000
47, 194000
48, 335000
49, 355000
50, 243000
