Run Index, Segregation Time steps (f048_s043_t00)
1, 33510000
2, 4620000
3, 5690000
4, 3710000
5, 3960000
6, 22670000
7, 5480000
8, 7080000
9, 7840000
10, 4200000
11, 4130000
12, 3910000
13, 4760000
14, 5480000
15, 5900000
16, 3450000
17, 18440000
18, 4500000
19, 39300000
20, 20260000
21, 2670000
22, 7470000
23, 10930000
24, 30090000
25, 6760000
26, 7150000
27, 3640000
28, 4320000
29, 2960000
30, 3830000
31, 2580000
32, 5340000
33, 7170000
34, 7810000
35, 3790000
36, 2410000
37, 12150000
38, 12080000
39, 6300000
40, 6260000
41, 6030000
42, 3490000
43, 24320000
44, 9280000
45, 6400000
46, 6800000
47, 8190000
48, 10080000
49, 7740000
50, 8850000
