Run Index, Segregation Time steps (f048_s043_t00)
1, 18260000
2, 12480000
3, 4880000
4, 23070000
5, 12950000
6, 6380000
7, 8980000
8, 13040000
9, 7150000
10, 19460000
11, 4370000
12, 31910000
13, 28670000
14, 3750000
15, 4720000
16, 7040000
17, 17440000
18, 9570000
19, 5870000
20, 3960000
21, 12530000
22, 8720000
23, 24190000
24, 46960000
25, 5740000
26, 46450000
27, 37550000
28, 9340000
29, 3450000
30, 5650000
31, 11980000
32, 44730000
33, 39300000
34, 8910000
35, 5800000
36, 4430000
37, 7350000
38, 7940000
39, 10630000
40, 12790000
41, 4540000
42, 5440000
43, 233740000
44, 19490000
45, 13610000
46, 2940000
47, 15790000
48, 3020000
49, 11890000
50, 24350000
