Run Index, Segregation Time steps (f048_s043_t00)
1, 20400000
2, 6240000
3, 8670000
4, 3010000
5, 21210000
6, 17910000
7, 11440000
8, 36730000
9, 9320000
10, 20460000
11, 10810000
12, 24320000
13, 4180000
14, 15850000
15, 6320000
16, 10960000
17, 4160000
18, 9990000
19, 29540000
20, 16130000
21, 11040000
22, 8300000
23, 6450000
24, 9120000
25, 25640000
26, 6230000
27, 8420000
28, 12470000
29, 5650000
30, 14890000
31, 26200000
32, 64530000
33, 19080000
34, 8180000
35, 5920000
36, 6160000
37, 32230000
38, 34710000
39, 4960000
40, 3630000
41, 14150000
42, 5760000
43, 6210000
44, 7060000
45, 5190000
46, 3360000
47, 8850000
48, 4660000
49, 11350000
50, 14930000
