Run Index, Segregation Time steps (f048_s043_t00)
1, 11280000
2, 3380000
3, 5640000
4, 23580000
5, 18540000
6, 10210000
7, 12000000
8, 7920000
9, 3770000
10, 5810000
11, 26410000
12, 3270000
13, 14190000
14, 13370000
15, 9890000
16, 28260000
17, 5660000
18, 8790000
19, 19550000
20, 12470000
21, 19130000
22, 13860000
23, 12190000
24, 11720000
25, 21500000
26, 4380000
27, 18110000
28, 12760000
29, 9480000
30, 5090000
31, 8490000
32, 12360000
33, 5170000
34, 8800000
35, 14530000
36, 8600000
37, 6330000
38, 10990000
39, 8660000
40, 16470000
41, 11020000
42, 15240000
43, 12630000
44, 15380000
45, 10010000
46, 9740000
47, 10350000
48, 15380000
49, 35870000
50, 5690000
